"","prefix","propExtinct1","propExtinct2","propExtinct3","recProp1","recProp2","recProp3","discCatch1","discCatch2","discCatch3","equilSSB1","equilSSB2","equilSSB3","equilCatch1","equilCatch2","equilCatch3","varSSB1","varSSB2","varSSB3","varCatch1","varCatch2","varCatch3","size1","size2","size3","sizeSSB1","sizeSSB2","sizeSSB3","meanFec1","meanFec2","meanFec3","totalFec1","totalFec2","totalFec3"
"1","SizeMat_1",0,0,0,1.00544393704463,0,0,36105.4426629189,0,0,0.136461977970056,0,0,2780.51714134405,0,0,3.03904428445541e-07,0,0,31.8345988722487,0,0,17.8880169878182,0,0,164.782403495268,0,0,50642.978497273,0,0,43545715122.5422,0,0
"2","SizeMat_1.025",0,0,0,1.00609434820928,0,0,35706.1260563478,0,0,0.129178060222051,0,0,2741.91753385285,0,0,3.31744917403386e-07,0,0,28.11636822179,0,0,17.883216684727,0,0,166.331575117172,0,0,49576.4986971248,0,0,42104198538.6147,0,0
"3","SizeMat_1.05",0,0,0,1.00758815874969,0,0,35311.6782296697,0,0,0.122784976329877,0,0,2703.87585692872,0,0,3.57331308000614e-07,0,0,31.433188240876,0,0,17.8792380911626,0,0,168.304624339639,0,0,48910.960785794,0,0,41017162686.433,0,0
"4","SizeMat_1.075",0,0,0,1.01075726849481,0,0,34626.8910695991,0,0,0.115277780750538,0,0,2636.38352147319,0,0,3.90952528327467e-07,0,0,42.6633735251205,0,0,17.8728759460075,0,0,169.081987039232,0,0,47661.9589934531,0,0,39045485373.5962,0,0
"5","SizeMat_1.1",0,0,0,1.0178766326389,0,0,33662.1258562694,0,0,0.106071480262559,0,0,2535.51702690943,0,0,3.86053599233859e-07,0,0,53.6237878021764,0,0,17.8662413965932,0,0,170.547663469493,0,0,46483.7242523408,0,0,36685366771.7617,0,0
"6","SizeMat_1.125",0,0,0,1.03360505009526,0,0,32581.0565783316,0,0,0.0962749982775604,0,0,2408.92619037569,0,0,2.92948998904259e-07,0,0,41.7303889238034,0,0,17.8693069976318,0,0,173.039479690841,0,0,45814.6240782217,0,0,34329791364.4994,0,0
"7","SizeMat_1.15",0,0,0,1.10372075700713,0,0,30509.9784740541,0,0,0.0793518683096884,0,0,2099.45648866739,0,0,2.87149599314065e-08,0,0,50.774237528624,0,0,17.9691468692146,0,0,174.514203497372,0,0,45405.3125388052,0,0,29042821873.6283,0,0
"8","SizeMat_1.175",0.07,0,0,1.26155365168132,0,0,28663.474522335,0,0,0.0613702238324774,0,0,1721.81859386906,0,0,1.08750919981917e-06,0,0,802.615430984676,0,0,18.2879433267639,0,0,176.924823964521,0,0,46994.6876053173,0,0,23257500747.7638,0,0
"9","SizeMat_1.2",0.27,0,0,1.51153517777654,0,0,27050.6742360932,0,0,0.0453656228073051,0,0,1368.92047903113,0,0,3.05473460968462e-06,0,0,2334.88996557378,0,0,18.8244780783503,0,0,180.917928533847,0,0,50804.5830581656,0,0,18197632750.0085,0,0
