"","prefix","propExtinct1","propExtinct2","propExtinct3","recProp1","recProp2","recProp3","discCatch1","discCatch2","discCatch3","equilSSB1","equilSSB2","equilSSB3","equilCatch1","equilCatch2","equilCatch3","varSSB1","varSSB2","varSSB3","varCatch1","varCatch2","varCatch3","size1","size2","size3","sizeSSB1","sizeSSB2","sizeSSB3","meanFec1","meanFec2","meanFec3","totalFec1","totalFec2","totalFec3"
"1","Growth_1",0,0,0,1.00544393704463,0,0,36105.4426629189,0,0,0.136461977970056,0,0,2780.51714134405,0,0,3.03904428445541e-07,0,0,31.8345988722487,0,0,17.8880169878182,0,0,164.782403495268,0,0,50642.978497273,0,0,43545715122.5422,0,0
"2","Growth_0.99",0,0,0,1.00732304350596,0,0,33363.5156544838,0,0,0.127013132606788,0,0,2554.18609053711,0,0,4.05083846878615e-07,0,0,27.9674751712826,0,0,17.5373110287598,0,0,164.119760165552,0,0,47965.0319270265,0,0,40064491767.5623,0,0
"3","Growth_0.98",0,0,0,1.01397658623681,0,0,30345.973814995,0,0,0.115628985452638,0,0,2294.57759759424,0,0,4.89363060564272e-07,0,0,39.6844023163552,0,0,17.192906039394,0,0,163.449423256439,0,0,45384.9608233058,0,0,36052727646.8649,0,0
"4","Growth_0.97",0,0,0,1.04646821337713,0,0,26862.4944858963,0,0,0.099313700963046,0,0,1950.09186496644,0,0,2.61809365240737e-07,0,0,15.5892132271026,0,0,16.8781252765076,0,0,162.901252370991,0,0,43164.8954829978,0,0,30685339404.6905,0,0
"5","Growth_0.96",0.05,0,0,1.24218334633665,0,0,22957.460753035,0,0,0.070395477086095,0,0,1397.5048909013,0,0,1.14793313045333e-06,0,0,430.583684730817,0,0,16.8661452947817,0,0,163.394679522104,0,0,43696.7706941729,0,0,21970245567.1446,0,0
"6","Growth_0.95",0.46,0,0,1.64839350972469,0,0,19881.5921797949,0,0,0.0454667570479891,0,0,939.52183298894,0,0,5.43933246351709e-06,0,0,2003.15972893844,0,0,17.1966746758662,0,0,165.329184873233,0,0,47715.5779011415,0,0,14720650140.726,0,0
"7","Growth_0.925",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
"8","Growth_0.9",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
