"","paramVal","#Surv","abun","abunSSB","catch","size","sizeSSB","meanFec","totalFec","rel_abun","rel_abunSSB","rel_catch","rel_size","rel_sizeSSB","rel_meanFec","rel_totalFec"
"1",1,100,4396556.36490621,139125.03045118,2834.13453701122,17.8824395417009,164.812501274045,50706.7165451533,44357135121.1676,1,1,1,1,1,1,1
"2",0.99,99,4289760.30496481,131831.9101498,2578.72871462081,17.6788836999802,163.086317965199,47500.3531980455,40513406301.452,0.975810347175035,0.947898309198222,0.91018508797702,0.988712604794583,0.989533799716877,0.936886256434542,0.913607518449404
"3",0.98,86,3990974.70222619,119527.035807543,2244.8171289524,17.5360375454255,161.429824635865,44861.0028870024,35422106446.8849,0.9089935232775,0.859061326667252,0.792740058597937,0.979812153681788,0.979741561749832,0.883783677226131,0.79912529697324
"4",0.97,42,3616379.34764972,106026.168177922,1930.74934391037,17.4999505496118,160.466796566346,43763.8017195708,30572926481.1963,0.831932992620237,0.771572877188941,0.688748236468725,0.978753297048463,0.973123881090614,0.860916424289602,0.696695611561086
"5",0.96,13,3161864.98575242,88786.2373122618,1539.50873053771,17.1960623245882,158.233935426399,39955.5847968712,24576570369.7932,0.719548024098119,0.64410118116478,0.549011515793733,0.96525631043332,0.961059092329613,0.797202935738338,0.559305860018821
"6",0.95,2,3555040.76022159,94179.291895131,1575.72115125457,16.618575699938,156.492920074436,35424.3246404887,25278653898.263,0.790102923781508,0.674107662279368,0.562360523175717,0.934755937009107,0.95516276345425,0.722726071822198,0.574586013412972
"7",0.925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
