"","paramVal","#Surv","abun","abunSSB","catch","size","sizeSSB","meanFec","totalFec","rel_abun","rel_abunSSB","rel_catch","rel_size","rel_sizeSSB","rel_meanFec","rel_totalFec"
"1",1,100,4300265.49627508,136461.977970056,2780.51714134405,17.9130515194284,164.809365072206,50887.7426402052,43545715122.5422,1,1,1,1,1,1,1
"2",0.99,100,4165316.92846418,127580.197896361,2497.62125826622,17.6482286636826,163.072667716794,47417.9926789406,39276418991.7417,0.968618549731921,0.934913884396106,0.89825781727025,0.985216206437044,0.989462386711758,0.931815604677202,0.901958295580031
"3",0.98,100,3917395.34540603,115685.965256703,2174.33706404526,17.3871838644815,161.335440236262,44148.8349229357,34356409904.8871,0.910965927289676,0.847752370129707,0.781990167122017,0.970643323703025,0.978921556827664,0.867573066368535,0.788973376788154
"4",0.97,100,3295754.73639921,94777.8831463681,1721.00641235206,17.2159138981031,160.014529297818,41924.7520553834,27315968708.3524,0.766407269331165,0.694536929306164,0.618951916088586,0.961082140551585,0.970906776005799,0.823867396748301,0.627294066281433
"5",0.96,78,2137083.98302857,63974.675342255,1156.24722650535,18.1492607634786,161.332456335978,49123.8367053801,18367577798.7317,0.498222952839163,0.469581133010936,0.416523024966399,1.01264516670955,0.978847166988878,0.964061142216199,0.422507514798901
"6",0.95,26,1275982.09654085,41214.9331514269,765.038711201629,19.190090754722,164.241359499334,59545.5971859531,12107692964.3762,0.297939103671012,0.303932424047648,0.275466441089204,1.07340509969456,0.994862734065128,1.16624712672927,0.278553779496507
"7",0.925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
