"","paramVal","#Surv","abun","abunSSB","catch","size","sizeSSB","meanFec","totalFec","rel_abun","rel_abunSSB","rel_catch","rel_size","rel_sizeSSB","rel_meanFec","rel_totalFec"
"1",1,100,4300265.49627508,136461.977970056,2780.51714134405,17.9130515194284,164.809365072206,50887.7426402052,43545715122.5422,1,1,1,1,1,1,1
"2",0.99,100,4107328.02954826,122515.780013737,2461.87867172796,17.4034102965863,164.098879269987,47298.3849832636,38622019641.5731,0.955133591892421,0.897801584267087,0.885403163002236,0.971549167807095,0.99568904472202,0.929465182169315,0.886930425482432
"3",0.98,100,3677274.40375444,103088.383001608,2045.92879292463,16.9201741984412,163.428026005278,44022.6290715661,32151337513.9515,0.855127295498318,0.7554366757327,0.735808732304979,0.9445724074477,0.991618564477074,0.8650929828588,0.738335274170473
"4",0.97,91,2303251.00980156,64661.3496830741,1309.56460933372,17.4902383242408,165.890844179527,51297.7269290551,20543978876.4044,0.536892207505477,0.474196976037276,0.471348143370385,0.975609932636142,1.00652691626553,1.00617820817375,0.472121219068552
"5",0.96,27,1203940.06644262,36757.2566094799,798.321774801557,18.9649101068665,171.500244600387,70622.2139072051,12443331355.9203,0.281668676420413,0.271180554718951,0.287558281566926,1.06012914212178,1.03879987368866,1.38130662770654,0.286402110662084
"6",0.95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
