"","prefix","propExtinct1","propExtinct2","propExtinct3","recProp1","recProp2","recProp3","discCatch1","discCatch2","discCatch3","equilSSB1","equilSSB2","equilSSB3","equilCatch1","equilCatch2","equilCatch3","varSSB1","varSSB2","varSSB3","varCatch1","varCatch2","varCatch3","size1","size2","size3","sizeSSB1","sizeSSB2","sizeSSB3","meanFec1","meanFec2","meanFec3","totalFec1","totalFec2","totalFec3"
"1","Allee_1",0,0,0,1.00544393704463,0,0,36105.4426629189,0,0,0.136461977970056,0,0,2780.51714134405,0,0,3.03904428445541e-07,0,0,31.8345988722487,0,0,17.8880169878182,0,0,164.782403495268,0,0,50642.978497273,0,0,43545715122.5422,0,0
"2","Allee_0.975",0,0,0,1.00563236009693,0,0,35985.3711512633,0,0,0.135932315984355,0,0,2768.89904483869,0,0,3.26374447093521e-07,0,0,29.6758647548877,0,0,17.8864797928341,0,0,164.768961005975,0,0,50619.5200650955,0,0,43366128556.3392,0,0
"3","Allee_0.95",0,0,0,1.00588871889612,0,0,35848.3275149847,0,0,0.135324270893661,0,0,2755.64176736731,0,0,3.51301649676258e-07,0,0,28.4796326151925,0,0,17.8847793236176,0,0,164.754656156207,0,0,50594.1889724005,0,0,43161007672.487,0,0
"4","Allee_0.925",0,0,0,1.00623669364878,0,0,35691.4652823139,0,0,0.134623003920358,0,0,2740.44462292987,0,0,3.78877834625639e-07,0,0,28.3923749792909,0,0,17.8828923458968,0,0,164.7394607295,0,0,50566.8286404312,0,0,42925649337.255,0,0
"5","Allee_0.9",0,0,0,1.00671001178206,0,0,35511.3087201024,0,0,0.13380967033268,0,0,2722.92785121155,0,0,4.09234537084365e-07,0,0,29.5466217048289,0,0,17.8807924074076,0,0,164.723372104654,0,0,50537.2962111937,0,0,42654109748.6292,0,0
"6","Allee_0.875",0,0,0,1.00735816185979,0,0,35303.5687887963,0,0,0.132859850511412,0,0,2702.60230893957,0,0,4.42371292237641e-07,0,0,32.0326243508408,0,0,17.8784504110043,0,0,164.70643565847,0,0,50505.4930180948,0,0,42338727674.6704,0,0
"7","Allee_0.85",0,0,0,1.00825649508183,0,0,35062.8899996706,0,0,0.131741105526476,0,0,2678.82261276481,0,0,4.78015880000816e-07,0,0,35.846721674662,0,0,17.8758372446109,0,0,164.688787489392,0,0,50471.4314156015,0,0,41969386639.0811,0,0
"8","Allee_0.825",0,0,0,1.00952511832453,0,0,34782.4961051301,0,0,0.130408981564857,0,0,2650.71134664836,0,0,5.15334223206106e-07,0,0,40.7967361191515,0,0,17.8729325697309,0,0,164.670741841093,0,0,50435.3908594469,0,0,41532319768.072,0,0
"9","Allee_0.8",0,0,0,1.0113665710548,0,0,34453.6848672376,0,0,0.128800089074544,0,0,2617.02973957655,0,0,5.52272544982279e-07,0,0,46.3246867689036,0,0,17.8697529264814,0,0,164.652986969878,0,0,50398.3150440676,0,0,41008066070.2245,0,0
