"","prefix","propExtinct1","propExtinct2","propExtinct3","recProp1","recProp2","recProp3","discCatch1","discCatch2","discCatch3","equilSSB1","equilSSB2","equilSSB3","equilCatch1","equilCatch2","equilCatch3","varSSB1","varSSB2","varSSB3","varCatch1","varCatch2","varCatch3","size1","size2","size3","sizeSSB1","sizeSSB2","sizeSSB3","meanFec1","meanFec2","meanFec3","totalFec1","totalFec2","totalFec3"
"1","Cat_SizeMat_1",0,0,0,0.747898526266292,0,0,20438.5866292909,0,0,0.13912503045118,0,0,2834.13453701122,0,0,4.35579852778646e-08,0,0,14.3519756153766,0,0,17.8563156351936,0,0,164.780750649797,0,0,50453.8344709117,0,0,44357135121.1676,0,0
"2","Cat_SizeMat_1.025",0,0,0,0.70970024431205,0,0,19888.5071763175,0,0,0.131810417635944,0,0,2798.08603023109,0,0,8.52012179913207e-08,0,0,25.9430119123839,0,0,17.8517713043969,0,0,166.342561860346,0,0,49406.1345299529,0,0,42935458440.5954,0,0
"3","Cat_SizeMat_1.05",0.01,0,0,0.67666421380994,0,0,19413.4903430695,0,0,0.12588797207335,0,0,2774.66574662092,0,0,6.53427507442803e-08,0,0,25.7648305047177,0,0,17.8583484632974,0,0,168.355367696258,0,0,48851.6648533777,0,0,42052962288.4259,0,0
"4","Cat_SizeMat_1.075",0.08,0,0,0.646509422738203,0,0,18827.695670014,0,0,0.118399184489759,0,0,2706.17464815571,0,0,2.78460460909905e-07,0,0,123.212213431847,0,0,17.8529363451248,0,0,169.053684307815,0,0,47527.9014192249,0,0,40043726413.4642,0,0
"5","Cat_SizeMat_1.1",0.23,0,0,0.653705372935571,0,0,18279.7182448716,0,0,0.104523069245806,0,0,2495.23680551674,0,0,8.29493030949505e-07,0,0,294.956548009905,0,0,17.8142304968826,0,0,170.47757499293,0,0,46119.2514970615,0,0,36070936077.3742,0,0
"6","Cat_SizeMat_1.125",0.52,0,0,0.675539871316975,0,0,18352.4734396986,0,0,0.0965232931934301,0,0,2418.40387199406,0,0,1.46326829828797e-07,0,0,82.5556728301981,0,0,17.8803872291281,0,0,173.11940490408,0,0,45961.1652118025,0,0,34420253360.5883,0,0
"7","Cat_SizeMat_1.15",0.78,0,0,0.770815373733463,0,0,18059.9583973029,0,0,0.0782491619231796,0,0,2057.66849315857,0,0,3.19912757347558e-08,0,0,121.896894796996,0,0,17.9489959493282,0,0,174.133842242901,0,0,44862.7790800814,0,0,28426895741.062,0,0
"8","Cat_SizeMat_1.175",0.95,0,0,1.11368136161932,0,0,17228.1040982076,0,0,0.0501759321057628,0,0,1437.00626996047,0,0,4.06456485929619e-06,0,0,1921.99388697964,0,0,18.5200964752897,0,0,178.019860487582,0,0,49514.8424205816,0,0,19419731837.4125,0,0
"9","Cat_SizeMat_1.2",0.98,0,0,0.66241213422563,0,0,16735.5859669858,0,0,0.0713298760667668,0,0,2061.44712262856,0,0,1.42575156863066e-06,0,0,2009.67405014505,0,0,17.7114953799967,0,0,178.243950634103,0,0,41544.5526924632,0,0,27265605695.8617,0,0
