"","prefix","propExtinct1","propExtinct2","propExtinct3","recProp1","recProp2","recProp3","discCatch1","discCatch2","discCatch3","equilSSB1","equilSSB2","equilSSB3","equilCatch1","equilCatch2","equilCatch3","varSSB1","varSSB2","varSSB3","varCatch1","varCatch2","varCatch3","size1","size2","size3","sizeSSB1","sizeSSB2","sizeSSB3","meanFec1","meanFec2","meanFec3","totalFec1","totalFec2","totalFec3"
"1","Cat_Growth_1",0,0,0,0.747898526266292,0,0,20438.5866292909,0,0,0.13912503045118,0,0,2834.13453701122,0,0,4.35579852778646e-08,0,0,14.3519756153766,0,0,17.8563156351936,0,0,164.780750649797,0,0,50453.8344709117,0,0,44357135121.1676,0,0
"2","Cat_Growth_0.99",0.01,0,0,0.683386603437617,0,0,18366.0737511703,0,0,0.130232247461155,0,0,2621.89034918654,0,0,7.550993658304e-08,0,0,22.7101267948619,0,0,17.5178812579726,0,0,164.182122176245,0,0,47915.20982457,0,0,41089093711.5595,0,0
"3","Cat_Growth_0.98",0.14,0,0,0.646233322276034,0,0,16457.1627867978,0,0,0.117150094083939,0,0,2323.29017730515,0,0,4.57035173831494e-07,0,0,160.811667979049,0,0,17.19150516379,0,0,163.429111713447,0,0,45337.8588235267,0,0,36471438502.5949,0,0
"4","Cat_Growth_0.97",0.59,0,0,0.705803695536192,0,0,15300.6931273552,0,0,0.0998037711188877,0,0,1967.88181403753,0,0,2.02126173941277e-07,0,0,74.2800769437763,0,0,16.8928967511205,0,0,163.126619344886,0,0,43455.5450897473,0,0,30915976911.1783,0,0
"5","Cat_Growth_0.96",0.91,0,0,1.19624997995934,0,0,14109.9910967075,0,0,0.0552217990117766,0,0,1125.64079015138,0,0,3.28072394398858e-06,0,0,1315.26683365841,0,0,17.0234196848437,0,0,164.403522891099,0,0,45618.5678279091,0,0,17632302686.6953,0,0
"6","Cat_Growth_0.95",0.99,0,0,0.971540977285639,0,0,11162.5965727314,0,0,0.0540721908977515,0,0,1030.16209621171,0,0,1.27176341616375e-05,0,0,4641.10624383856,0,0,19.3326903838677,0,0,161.326525927742,0,0,52180.4391523952,0,0,16167664625.1961,0,0
"7","Cat_Growth_0.925",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
"8","Cat_Growth_0.9",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
