"","prefix","propExtinct1","propExtinct2","propExtinct3","recProp1","recProp2","recProp3","discCatch1","discCatch2","discCatch3","equilSSB1","equilSSB2","equilSSB3","equilCatch1","equilCatch2","equilCatch3","varSSB1","varSSB2","varSSB3","varCatch1","varCatch2","varCatch3","size1","size2","size3","sizeSSB1","sizeSSB2","sizeSSB3","meanFec1","meanFec2","meanFec3","totalFec1","totalFec2","totalFec3"
"1","Cat_J.Surv_1",0,0,0,0.747898526266292,0,0,20438.5866292909,0,0,0.13912503045118,0,0,2834.13453701122,0,0,4.35579852778646e-08,0,0,14.3519756153766,0,0,17.8563156351936,0,0,164.780750649797,0,0,50453.8344709117,0,0,44357135121.1676,0,0
"2","Cat_J.Surv_0.975",0.01,0,0,0.683101932084505,0,0,18462.4135923955,0,0,0.12940363198403,0,0,2634.66366947408,0,0,7.53873216657127e-08,0,0,23.6459505249677,0,0,17.4548661825728,0,0,164.742944915599,0,0,48171.1878616328,0,0,41237016334.621,0,0
"3","Cat_J.Surv_0.95",0.15,0,0,0.649762660021579,0,0,16611.3756007485,0,0,0.114645880563675,0,0,2327.78776197684,0,0,4.3286319549706e-07,0,0,136.634508297752,0,0,17.0720089234937,0,0,164.597173322226,0,0,45882.2476362227,0,0,36445725919.4098,0,0
"4","Cat_J.Surv_0.925",0.6,0,0,0.72846889764724,0,0,15479.8852584544,0,0,0.0938788045418205,0,0,1914.73983599543,0,0,1.40089602337152e-07,0,0,45.2753607630875,0,0,16.7236901453289,0,0,164.823454112853,0,0,44199.1080469955,0,0,29963948051.2509,0,0
"5","Cat_J.Surv_0.9",0.95,0,0,0.888184741685977,0,0,14308.268939117,0,0,0.0744409381603639,0,0,1553.61519085089,0,0,4.57236928637974e-06,0,0,1071.98273482433,0,0,16.5769125890765,0,0,165.727982677332,0,0,44286.5531059568,0,0,24261048108.2964,0,0
"6","Cat_J.Surv_0.875",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
"7","Cat_J.Surv_0.85",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
"8","Cat_J.Surv_0.825",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
"9","Cat_J.Surv_0.8",1,0,0,1,0,0,-12.8302815518292,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
