h,NC
0,0
0.01,5185.361424
0.02,9600.074216
0.03,13332.90136
0.04,16451.70028
0.05,19006.19017
0.06,21028.8482
0.07,22533.55151
0.08,23510.89747
0.09,23918.13767
0.1,23662.4604
0.11,22593.4008
0.12,20567.69887
0.13,17506.24597
0.14,13491.74705
0.15,9420.34437
0.16,6113.438161
0.17,3671.802655
0.18,2020.155155
0.19,1022.021276
0.2,486.1367458
0.21,221.4058832
0.22,97.49062495
0.23,41.73403869
0.24,17.59055849
0.25,7.440433251
