h,MPA
0,0
0.01,4144.933671
0.02,7671.736138
0.03,10658.89992
0.04,13168.54336
0.05,15249.49232
0.06,16939.27126
0.07,18265.14232
0.08,19244.22576
0.09,19882.75348
0.1,20175.08068
0.11,20105.40052
0.12,19658.84637
0.13,18840.71393
0.14,17685.9984
0.15,16280.36008
0.16,14818.61426
0.17,13502.91768
0.18,12414.23092
0.19,11553.20154
0.2,10898.38936
0.21,10414.84623
0.22,10060.78593
0.23,9798.785881
0.24,9600.343367
0.25,9445.476095
