"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Surv",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7.5",117845557.902538,111802083.790214,112800558.788713,89193298.3552104,108610466.999085,116299165.982648,115572819.524218,110703641.902669,111898221.85807,115149063.595611,109080231.639712,112985684.895282,109526070.856797,120729182.295838,122418850.288889,91697579.4149794,108274656.171501,121115830.876453,113167107.676186,112825428.88104
"12.5",20286012.0263085,19245682.0885238,19417548.5151684,15353795.4701088,18696279.9947344,20019805.7288936,19894777.9876103,19056594.7738044,19262227.6496014,19821836.2716102,18777138.4020014,19449413.8237885,18853892.8401076,20782382.220802,21073249.8241876,15784869.6112478,18638462.0072762,20848942.4666304,19480652.5289531,19421834.7206543
"17.5",169247.227725004,160448.356813926,161279.450843775,128215.355731903,156118.007160421,166544.089807611,165810.502781681,158829.429325016,160395.580974084,165403.031032414,156422.859921743,161420.740872561,157442.943214636,172420.854710675,175209.793596347,131068.409098352,155054.829206413,173094.708067979,162116.986948831,161575.067621933
"22.5",1096198.24346836,1039205.80251854,1044573.76477522,830441.675365144,1011164.90659021,1078678.3235579,1073934.63545566,1028719.16812765,1038859.23893012,1071300.48094624,1013130.15511421,1045485.77362323,1019746.60549476,1116729.48287282,1134802.16109738,848902.104505065,1004264.29429607,1121096.94108526,1050006.17294031,1046494.85528513
"27.5",2151674.96433714,2039806.77238316,2050344.28605688,1630035.17711341,1984768.20535955,2117286.99617591,2107975.47824999,2019223.88445594,2039126.7047536,2102804.99089455,1988624.38318691,2052134.08264805,2001611.99396946,2191975.49667235,2227448.87199368,1666269.50982267,1971221.88875659,2200548.76550714,2061007.95960214,2054113.75924235
"32.5",2162003.71981444,2049593.40937973,2060192.53756782,1637871.33985294,1994307.91412366,2127462.20064818,2118102.00489012,2028920.82275786,2048912.12672742,2112906.34603023,1998168.07606399,2061987.14732689,2011223.53204341,2202505.96576359,2238142.79311752,1674271.22684267,1980680.70220581,2211126.96081018,2070914.69614138,2063965.25812771
"37.5",1460789.70021839,1384809.39460914,1392032.58956326,1106716.01939606,1347551.61911855,1437515.70235171,1431169.07769739,1370892.6191469,1384360.54750507,1427656.58567716,1350078.49203442,1393223.99743162,1358930.38780009,1488201.85647133,1512242.168307,1131263.22654705,1338255.3826902,1494063.53795059,1399318.00609052,1394498.58643579
"42.5",790519.673409791,749303.637775228,753425.223828573,599130.262180185,729474.329254843,778146.89570353,774635.65730179,741947.998409005,749100.268348221,772728.043342007,730561.688990435,753997.118545361,735458.028381219,805513.231025045,818391.148317883,612252.609207817,724137.660075235,808812.027160756,757508.448194476,754473.445387629
"47.5",425283.555870982,402883.984060469,405589.234375892,322826.378869471,392980.270919434,419136.829894669,417072.038149326,399329.378537122,402865.32714139,416030.057125419,392922.800475237,405729.825521048,395800.247150729,433715.06342113,440341.023133013,329515.388327874,389407.660142621,435780.297346792,408108.490164163,405496.40594675
