h,MPA
0,0
0.01,3497.171033
0.02,6559.344697
0.03,9218.020401
0.04,11498.92334
0.05,13422.11541
0.06,15001.66029
0.07,16244.73093
0.08,17150.10232
0.09,17706.54527
0.1,17893.82393
0.11,17692.3483
0.12,17099.76762
0.13,16139.57601
0.14,14885.14966
0.15,13520.28077
0.16,12251.28103
0.17,11175.11549
0.18,10305.9724
0.19,9632.903902
0.2,9131.203696
0.21,8764.364039
0.22,8495.554136
0.23,8295.054769
0.24,8141.386711
0.25,8019.862595
