h,NC
0,0
0.01,4371.862188
0.02,8196.377473
0.03,11505.63136
0.04,14322.92167
0.05,16661.67212
0.06,18522.88345
0.07,19890.0959
0.08,20720.16696
0.09,20929.2692
0.1,20387.32913
0.11,18966.22959
0.12,16574.53957
0.13,13229.08503
0.14,9594.616391
0.15,6496.260759
0.16,4091.909153
0.17,2379.660256
0.18,1271.014037
0.19,633.8914001
0.2,301.5429869
0.21,138.3649467
0.22,61.2498197
0.23,26.19776754
0.24,10.97150559
0.25,4.585505227
