"","h","Disp","mpa_yield","mpa_prop_msy"
"193",0.07,0.25,15916.7040071675,0.94592425826155
"194",0.07,0.5,15835.0685159998,0.944744404032592
"195",0.07,0.75,16063.9868401679,0.944393661664614
"196",0.07,1,16244.7309328976,0.90784010147375
"197",0.07,1.25,16309.9213713486,0.893419461398078
"198",0.07,1.5,16286.1411297776,0.891362981833578
"199",0.07,1.75,16534.3000611199,0.852030954013578
"200",0.07,2,16577.5338023433,0.838867965076342
"201",0.08,0.25,16628.1087766094,0.988202799632617
"202",0.08,0.5,16504.4187735016,0.98467886402395
"203",0.08,0.75,16750.4346592595,0.984749581764884
"204",0.08,1,17150.1023236843,0.958436966308162
"205",0.08,1.25,17282.0472916416,0.946670252517464
"206",0.08,1.5,17230.2602931499,0.943035926699017
"207",0.08,1.75,17629.8995754773,0.908488420975232
"208",0.08,2,17701.3317090287,0.895735173092831
