"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299","300"
"Juv.",0,0.00360631253636508,0.00591899925631067,0.00824600892789876,0.00959800957015203,0.0102346974323494,0.0104801529704102,0.0107236180184669,0.0112449309082755,0.0103403004543203,0.0115470131415811,0.0117138611552269,0.0105277759012053,0.0111365387150347,0.0117066247489481,0.0101016986090704,0.0106943268282692,0.0115519632568809,0.00954794676519945,0.0121631290658598,0.00748476418823079,0.0116752118075492,0.0114653562592078,0.0103837325520121,0.011957125825445,0.0116336085534041,0.0139448640767863,0.0101429752466108,0.0112938115671732,0.00983815268354001,0.0109987088364249,0.0136647727199668,0.0092264265331595,0.0088630318704424,0.0181873713466494,0.00700544562252987,0.00982511035693837,0.0122267999714828,0.0122314979503383,0.0098170551855115,0.0109521919405699,0.0125480058386397,0.010534813152216,0.0068525235942202,0.00984726274968949,0.0148215522020321,0.0149316309718991,0.0113216764716645,0.00964385181395471,0.0079138796702685,0.00848564120336849,0.0124385723222349,0.00951867101838983,0.00962034185283451,0.0125054127219255,0.00887187594329199,0.0109586673112881,0.0136007483787233,0.00899370921114349,0.010630842951076,0.0107032285818009,0.00811169655809379,0.0140893603254291,0.0118371889162287,0.00894831624864723,0.00741010668999058,0.0130349512990351,0.0151424292137461,0.00893526641780267,0.0130053940241143,0.0118808869606503,0.010608032237364,0.010620720829468,0.0108523365363018,0.00507056828400995,0.00832529437136438,0.0161362879177432,0.00680870576087214,0.0128112177698835,0.00886399815517596,0.0144494285859549,0.0052944727831373,0.00756475189016618,0.0126389322356127,0.00985817033107468,0.00905815223533539,0.00924550710929298,0.0167397193114854,0.00863471694337566,0.0091867351690999,0.00893720309859026,0.0112377395177663,0.00867350289521057,0.0109597789126609,0.00723571364292922,0.011796493832911,0.00490266368629654,0.020166974601338,0.00390777086020068,0.010816119337062,0.0114075916956914,0.012635924955533,0.00746707504888308,0.0122601535002089,0.0083612637519003,0.00875220503482687,0.0102445794546042,0.0116741849227231,0.00912953050375163,0.00881367134613719,0.0101169099196942,0.0168970921628461,0.0112038892912805,0.0121887960416323,0.00972365065279184,0.00602948474572499,0.00961545243026911,0.00966956362179931,0.011188275984607,0.0156918763315422,0.0136981008517527,0.0140808908447884,0.0030734086207188,0.0119207927100009,0.0155265567002091,0.00792844897480205,0.00801067801670767,0.00834072272010371,0.0072742855936051,0.012186705422314,0.012228433268056,0.0109076166741026,0.016453805782256,0.0102192501253697,0.0103820931874549,0.0083454124785269,0.0126411008550536,0.015011444061581,0.00644078797366792,0.00734290219664394,0.0095858607407071,0.0150198057844475,0.0166890243053657,0.00417322065095799,0.0137169232403772,0.00869429549393115,0.0105588930091351,0.0112817956323953,0.00911249487870423,0.00634878149940314,0.0150242336135911,0.0112676111779716,0.00702754056464648,0.00962848268155846,0.00788719479513958,0.0122163644939962,0.0147595311736525,0.00735200169478845,0.0100591549966408,0.0105211488751854,0.0144103998541781,0.0102824105138211,0.00762609019056127,0.0130012760262326,0.0137706751485905,0.0102008384665732,0.00683948081670366,0.00853077065821261,0.0104444844404885,0.00954964922836351,0.00976169735661165,0.0130990830479734,0.0104682883646165,0.0106806806677349,0.00780261697719659,0.0104003346181782,0.00908990652634878,0.0087231724124381,0.010983944118823,0.0118694529401986,0.00872397272310439,0.0130743976584581,0.0119276124860453,0.00955515211603089,0.0109278681645768,0.00348431430527839,0.0119345826890065,0.00944082459172633,0.0121978570246022,0.0123647720623473,0.00872612780942603,0.0072759420880299,0.00961918705672565,0.00849537120426823,0.00977537999909539,0.0123118444976787,0.00848442404520382,0.0115453310220942,0.00885915762323311,0.00593760588133366,0.0135917535821097,0.0124070765686047,0.0124465366685824,0.00821774293772083,0.00995605386315521,0.0136075236195163,0.0102094604805089,0.00921550876628278,0.0179074173458924,0.00964965160613919,0.00950789036598073,0.0092528581350238,0.00535049439053731,0.00699007802348247,0.00975265341908094,0.0086362984395339,0.0146208152204948,0.00920919185948655,0.0080516295034286,0.0155056150281708,0.00665333826304318,0.0119399222262654,0.00952180386364231,0.00978987884631642,0.0147938189750168,0.0043428099275816,0.00687571901843769,0.00765316822648065,0.0151170024961837,0.0118919104867697,0.015552109914745,0.00915039293571341,0.0082197245626861,0.00844741986344964,0.0142007647927112,0.00965878140863863,0.014257458563565,0.00666854613680254,0.008965335506814,0.0124609213324928,0.0118417014846868,0.00897549524583835,0.0103337812855668,0.0113468970100199,0.00940488232041597,0.00561041915786019,0.00806437343672875,0.0110827184036669,0.0115877616881599,0.00788100782568093,0.00904251357131623,0.0168577900320214,0.00670449470992446,0.0128259440684288,0.00865024331421007,0.00955662520409759,0.0102946815016595,0.00736771505543491,0.00778811246680662,0.011078779509444,0.00989597470530199,0.0137928479130729,0.00539802410092658,0.0113739016610103,0.0096696075280095,0.015066735832523,0.0143933975003432,0.0101199747750009,0.00439929320473224,0.00838694922805173,0.00670635064106625,0.00905957610428649,0.00845048766155451,0.0040303583330839,0.0091173561458339,0.0133236106291521,0.00981604271356006,0.00877876708493044,0.00980244621917731,0.00879269776411249,0.00930590676848847,0.0105545723479609,0.0129568547311995,0.00875585317505159,0.00990772169972007,0.0141421221421333,0.00375900606746713,0.0103377035165846,0.00797280445627771,0.00696565578852442,0.0102038664241652,0.0134116698105196,0.00560708434620765,0.00473599770707709,0.00876338442849683,0.00682112681804035,0.00595965033966362,0.00847045280277541,0.00715744198981307,0.0102597392354084
"YA",0,-0.00381806634950025,-0.00419902000697897,-0.00329589161127636,-0.00177995744256232,-0.000429945040850941,0.000325296201455206,0.000484890629104106,0.000550645620897331,0.00129229827279411,0.000509621048171243,0.000837319256942426,0.00182771127972232,0.00150149930078594,0.00123459472047968,0.00216822109002255,0.00154068690606425,0.00119807786937706,0.00255053611293705,0.000790325908171778,0.00422134145016298,0.000610605162689997,0.000912085919148581,0.00233465683507679,0.00128755348181722,0.0018429482003989,0.000547984736806757,0.00365617946781238,0.00273669653148637,0.00323899548875279,0.00159328084020126,0.000719694566460713,0.00375476720458858,0.00369163415841368,-0.0024109563377591,0.00612103099254495,0.00334345011046238,0.00181039390294332,0.00150543292064915,0.00329721298047214,0.00282907811027901,0.002103387959464,0.00335086229998655,0.00528026639991704,0.00205069803903492,-0.00111362397954753,0.000607809328726655,0.00405483270324127,0.00502181377480612,0.00533783043798239,0.00346715445510098,0.000338258720546547,0.00273403718195436,0.00265205069871765,0.00140329898437136,0.00405158053060241,0.00213081942583943,0.0013342022452461,0.00459307565317857,0.00343818616468557,0.00265232514395779,0.00429451596272298,0.000388895919952848,0.00208712001720939,0.0045082612950095,0.00514116613627347,0.000890728891013885,0.00033944311833244,0.00536281507427101,0.00244078696620923,0.00297333385872341,0.00370953775403922,0.00346113341811247,0.00326738419281394,0.00638319079983956,0.00236204400507469,-0.0020863487797446,0.00579802366819361,0.00188326859302088,0.00494863954907823,0.00101313279210858,0.00784881068605212,0.00458161592373612,0.00139336327344704,0.00304943240485939,0.00379130005802479,0.00367567860249312,-0.00141091381161755,0.00517016092041408,0.00470739708798431,0.00438079575141222,0.00215047027030525,0.00414765553201077,0.0028141339782732,0.00522548334857716,0.00160102750351544,0.00659454945435862,-0.00384462194171021,0.00833697556165672,0.00256013055389634,0.00232933492764756,0.00154382443629087,0.00570011983767773,0.00228767531559534,0.00497616986335179,0.00394497759358789,0.00288776913780663,0.00269790400868478,0.00505666231372445,0.00452256724493382,0.00324682953315092,-0.000566356966270776,0.0050068285966624,0.00441965232762338,0.00602713033330384,0.00681504127872516,0.00318593181428136,0.00245474141349304,0.00142412888447148,0.000503031487255172,0.00316796893032794,0.00399992654025535,0.0104705163572893,0.00228410579534838,0.00052923655688882,0.00605903373831892,0.00550960519832045,0.0042433981869318,0.0037472332271121,0.000923313477935755,0.00138112240907401,0.0035863553107102,0.00106512854635724,0.00595989654272395,0.00486751961008452,0.00608587623676783,0.00135007615660554,0.000937354610208228,0.0074122815488103,0.00578766044440567,0.00302293530884987,-0.000661903933904809,0.000154841897307372,0.0100751620266635,0.00176432849468879,0.00498127256653013,0.00318359952769252,0.00325714156181052,0.00439113517304368,0.00556191820673181,-0.000324730609002,0.00341195374534039,0.00667897988419597,0.00375602086810356,0.00419559005427072,0.00073464869407274,7.63171813393868e-06,0.0064263656304247,0.00386077381680333,0.00314745933492314,0.0012199893699996,0.00443158467663218,0.00619004589011329,0.00197866557431939,0.0014687100720256,0.00472584761407915,0.00633480027250055,0.00435520467468899,0.00218212579081532,0.00310809339518396,0.0037778755597489,0.00159780231340197,0.00399911120982633,0.00371292090888671,0.0058753399527721,0.00310170318134384,0.00370502498173374,0.0037668467646435,0.00217465059258499,0.00214089958847976,0.00470342453434692,0.0020469953829353,0.00333844126930895,0.00510319877564616,0.00377313403725352,0.00755771337920961,0.000542041679220021,0.00263613657409594,0.0014804203099093,0.00279044367288169,0.00558951918396779,0.00574450707150508,0.00336261456624563,0.00363342031241663,0.00270642728865638,0.00209955581175586,0.00568607035192517,0.00313118424491047,0.00450119924043874,0.00589425151104843,-3.91605401737026e-05,0.00208128878219809,0.00249034942983874,0.00578256392412833,0.00427157830986735,0.00232812926411436,0.00442525145611554,0.00453541986755014,0.000116272513943701,0.0062615521385404,0.00633820819037309,0.00576802227828491,0.00684363064642568,0.00462921562873914,0.00248645262320468,0.00302113895059491,-1.69624875988739e-05,0.00438647754654501,0.00536444922673417,0.00056430895340623,0.00677324242401609,0.00249185082209537,0.00489333819638207,0.00390198357812909,0.000856488770126548,0.00843357484834064,0.0051411880693646,0.00384711557930241,-0.00112802057110149,0.00285180810092663,0.00115254225722344,0.00644593698977028,0.00561717032846196,0.00488263296047593,0.000786170228323489,0.0046469760338164,0.00243935454287297,0.0077186209491823,0.00473044757277926,0.00128111683482446,0.00264809463467869,0.00492657023025176,0.00349901257052663,0.0034409654194159,0.00454906741535283,0.00620477678888171,0.00302994750886232,0.000875776776748531,0.0013763584632077,0.00466570926645998,0.00319825458936164,-0.00118630785205859,0.00722248975647364,0.00284235597484041,0.00590435088917308,0.00418309247583445,0.00361273819017543,0.00489475250747794,0.00404729100355854,0.00188870694830968,0.00283889967547948,0.000753376402842742,0.00745438908217726,0.0026765079084476,0.00342104668622069,0.000432769631158034,0.00215871073689936,0.0055764589324551,0.00889347861856215,0.00349926882447669,0.0046444438965845,0.00280005813124492,0.00369815271914889,0.00606897669581701,0.00226824225238887,-0.000229521459508284,0.00345111164341554,0.00474988120140361,0.00350538579613819,0.00389042393689349,0.00334732192906442,0.00297806899190318,0.0015535350196675,0.00526690428024131,0.00405522830096996,0.00188209425572369,0.00826786655261188,0.00275172288996518,0.00421920505697363,0.00429618928676104,0.00213555424010791,0.000758835491126568,0.00664773373900497,0.00630058730478762,0.00231355154173095,0.00324282588062283,0.00388256344927477,0.00278401689008636,0.00311219871307376,0.00145738531014463
"MA",0,0.000211753813135161,-0.0017199792493317,-0.0049501173166224,-0.0078180521275897,-0.00980475239149846,-0.0108054491718654,-0.011208508647571,-0.0117955765291728,-0.0116325987271144,-0.0120566341897523,-0.0125511804121693,-0.0123554871809276,-0.0126380380158207,-0.0129412194694278,-0.012269919699093,-0.0122350137343335,-0.0127500411262579,-0.0120984828781365,-0.0129534549740316,-0.0117061056383938,-0.0122858169702391,-0.0123774421783564,-0.0127183893870888,-0.0132446793072623,-0.013476556753803,-0.0144928488135931,-0.0137991547144231,-0.0140305080986595,-0.0130771481722928,-0.0125919896766262,-0.0143844672864275,-0.0129811937377481,-0.0125546660288561,-0.0157764150088904,-0.0131264766150748,-0.0131685604674007,-0.0140371938744261,-0.0137369308709875,-0.0131142681659836,-0.013781270050849,-0.0146513937981037,-0.0138856754522026,-0.0121327899941372,-0.0118979607887244,-0.0137079282224846,-0.0155394403006257,-0.0153765091749058,-0.0146656655887608,-0.0132517101082509,-0.0119527956584695,-0.0127768310427815,-0.0122527082003442,-0.0122723925515522,-0.0139087117062969,-0.0129234564738944,-0.0130894867371276,-0.0149349506239694,-0.0135867848643221,-0.0140690291157616,-0.0133555537257587,-0.0124062125208168,-0.0144782562453819,-0.0139243089334381,-0.0134565775436567,-0.0125512728262641,-0.013925680190049,-0.0154818723320785,-0.0142980814920737,-0.0154461809903235,-0.0148542208193737,-0.0143175699914032,-0.0140818542475805,-0.0141197207291158,-0.0114537590838495,-0.0106873383764391,-0.0140499391379986,-0.0126067294290658,-0.0146944863629044,-0.0138126377042542,-0.0154625613780635,-0.0131432834691894,-0.0121463678139023,-0.0140322955090598,-0.0129076027359341,-0.0128494522933602,-0.0129211857117861,-0.0153288054998679,-0.0138048778637897,-0.0138941322570842,-0.0133179988500025,-0.0133882097880715,-0.0128211584272213,-0.0137739128909341,-0.0124611969915064,-0.0133975213364264,-0.0114972131406552,-0.0163223526596278,-0.0122447464218574,-0.0133762498909584,-0.013736926623339,-0.0141797493918239,-0.0131671948865608,-0.0145478288158042,-0.0133374336152521,-0.0126971826284148,-0.0131323485924108,-0.0143720889314078,-0.0141861928174761,-0.013336238591071,-0.0133637394528451,-0.0163307351965753,-0.0162107178879429,-0.0166084483692557,-0.0157507809860957,-0.0128445260244502,-0.0128013842445505,-0.0121243050352924,-0.0126124048690785,-0.0161949078187974,-0.0168660697820806,-0.0180808173850437,-0.0135439249780081,-0.0142048985053493,-0.016055793257098,-0.013987482713121,-0.0135202832150281,-0.0125841209070355,-0.0110215188207172,-0.0131100189002498,-0.01360955567713,-0.0144939719848128,-0.0175189343286132,-0.0161791466680937,-0.0152496127975394,-0.0144312887152947,-0.0139911770116592,-0.0159487986717893,-0.0138530695224782,-0.0131305626410496,-0.012608796049557,-0.0143579018505426,-0.0168438662026731,-0.0142483826776215,-0.015481251735066,-0.0136755680604613,-0.0137424925368276,-0.0145389371942059,-0.0135036300517479,-0.011910699706135,-0.0146995030045891,-0.014679564923312,-0.0137065204488425,-0.013384503549662,-0.0120827848494103,-0.012951013188069,-0.0147671628917864,-0.0137783673252132,-0.0139199288134442,-0.0136686082101086,-0.0156303892241777,-0.0147139951904533,-0.0138161360806746,-0.014979941600552,-0.0152393852206161,-0.0149266860806523,-0.0131742810892042,-0.0128859753329016,-0.0126266102313038,-0.0126577426235475,-0.0135395729163606,-0.0146968853613753,-0.0144673995744428,-0.0143936015766217,-0.0136779569299687,-0.0135020377995221,-0.0127949315080825,-0.0124900191770816,-0.013158594711408,-0.0140103525286784,-0.0134273972574513,-0.0151213930413934,-0.0152660537553543,-0.014658350891677,-0.0147010022018304,-0.011042027684488,-0.0124766243682265,-0.0120769611658223,-0.0136782773345115,-0.015155215735229,-0.0143156469933938,-0.013020449159535,-0.0129818016229713,-0.0121287915166849,-0.0124818072877518,-0.0144114003094346,-0.014170494397129,-0.0146765152670047,-0.0133603568636718,-0.0118318573923821,-0.013552593041936,-0.0144883653508028,-0.0149368860984211,-0.0140003068618492,-0.0142276321730226,-0.0159356528836307,-0.0146347119366244,-0.0137509286338329,-0.0180236898598361,-0.0159112037446796,-0.0158460985563538,-0.0150208804133087,-0.012194125036963,-0.0116192936522216,-0.0122391060422856,-0.0116574373901288,-0.014603852732896,-0.0135956694060316,-0.0134160787301628,-0.0160699239815771,-0.0134265806870593,-0.0144317730483607,-0.0144151420600244,-0.0136918624244455,-0.0156503077451433,-0.0127763847759222,-0.0120169070878023,-0.0115002838057831,-0.0139889819250822,-0.0147437185876963,-0.0167046521719684,-0.0155963299254837,-0.0138368948911481,-0.0133300528239256,-0.0149869350210347,-0.014305757442455,-0.0166968131064379,-0.0143871670859848,-0.0136957830795932,-0.0137420381673173,-0.0144897961193655,-0.0139020654760901,-0.0138327938560934,-0.0147878624294358,-0.0139539497357688,-0.0118151959467419,-0.0110943209455911,-0.0119584951804154,-0.0129641201513676,-0.0125467170921409,-0.0122407681606779,-0.0156714821799628,-0.0139269844663981,-0.0156683000432692,-0.0145545942033831,-0.013739717679932,-0.0139074196918349,-0.0122624675629129,-0.0118354034703652,-0.0129674864577537,-0.0127348743807815,-0.0145462243159157,-0.0128524131831038,-0.0140504095694579,-0.0130906542142302,-0.015499505463681,-0.0165521082372426,-0.015696433707456,-0.0132927718232944,-0.0118862180525284,-0.0113507945376507,-0.0118596342355314,-0.0121486403807034,-0.0100993350289009,-0.0113855983982228,-0.0130940891696438,-0.0132671543569756,-0.013528648286334,-0.0133078320153155,-0.012683121701006,-0.0126532286975529,-0.0135326413398641,-0.014510389750867,-0.0140227574552929,-0.01396295000069,-0.016024216397857,-0.012026872620079,-0.0130894264065498,-0.0121920095132513,-0.0112618450752854,-0.0123394206642731,-0.0141705053016462,-0.0122548180852126,-0.0110365850118647,-0.0110769359702278,-0.0100639526986632,-0.00984221378893839,-0.0112544696928618,-0.0102696407028868,-0.011717124545553
