"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200","201","202","203","204","205","206","207","208","209","210","211","212","213","214","215","216","217","218","219","220","221","222","223","224","225","226","227","228","229","230","231","232","233","234","235","236","237","238","239","240","241","242","243","244","245","246","247","248","249","250","251","252","253","254","255","256","257","258","259","260","261","262","263","264","265","266","267","268","269","270","271","272","273","274","275","276","277","278","279","280","281","282","283","284","285","286","287","288","289","290","291","292","293","294","295","296","297","298","299","300"
"Juv.",0,-9.38353233883183e-08,-0.00132278011651682,6.94324507563715e-05,-0.000245664187920618,-0.000911380779989306,-0.00100802036354863,-0.000848005312253962,-0.000924006605311648,-0.00173187420693358,-0.000647841436963222,-0.000394956649388482,-0.00178431070508314,-0.0012305972059748,-0.000970993270057131,-0.00169173670686786,-0.00143219703449279,-0.0010180102052182,-0.00209801198564063,-0.000655495563577737,-0.00324746529591656,-0.000882685700188556,-0.00077437601582363,-0.00154945239322948,-0.000604831148273006,-0.000983148483597888,0.000194769297127153,-0.00201454421860726,-0.000970033992061255,-0.00193416203946572,-0.00163534356209477,0.00021186525642192,-0.00205293487292913,-0.00220776138848599,0.00205442529893117,-0.00325742769416687,-0.00191310162687089,-0.000771548412561552,-0.000647619375824021,-0.00126101076214894,-0.00117677624490841,-0.000874774505163264,-0.00155673833244525,-0.00296586864953575,-0.0018560738867866,0.000481075737621915,0.000476108231433592,-0.000936218332372346,-0.00189080333275855,-0.00234301924521847,-0.00243915657701574,-0.00114807482621895,-0.0019190250430972,-0.00179075574537676,-0.000433829505855557,-0.00193325438079656,-0.000830557375724511,0.000380889410007629,-0.00246855065633236,-0.00136232814912746,-0.00126330219561752,-0.00257161581452473,-0.000292118525832159,-0.000655603390438077,-0.00205603173105785,-0.00243879813123526,-0.00062224126786615,0.0011312885708075,-0.00131794509968082,-0.000503614271448792,-0.000725649884660079,-0.00116166591521765,-0.00147159448429936,-0.00040331856144245,-0.00419459059953201,-0.00261688543492298,0.000889723639564852,-0.00299453056977201,-6.42443495275514e-05,-0.00191853269182858,0.000921170504615228,-0.00378716003914365,-0.00251248079341136,-0.000154885197973311,-0.00182021017448234,-0.00211112379032415,-0.00132024171063061,0.00148323246829219,-0.00184386874982771,-0.00152181221248449,-0.00217740823863694,-0.000948958098590636,-0.00228672400171333,-0.00090026232238748,-0.00270834163779918,-0.000410902168828368,-0.00365507444595198,0.00252773858870561,-0.00363733574615127,-0.00109020521627128,-0.000345100380413506,-0.000677572379688896,-0.00288526666608091,-0.000898150614964544,-0.00206393974348593,-0.00183104819827336,-0.00102735451545123,-0.000532190852830395,-0.00158610058321276,-0.00185280231927967,-0.00114630662503815,0.00150511613286068,-0.000570281068073128,-0.000405926736801814,-0.00137873934521924,-0.0032647993224696,-0.00171548833312338,-0.00133726448440778,-0.000721132938960297,0.000320525463650491,-4.91436179390802e-05,0.000322187727211591,-0.0044415126930522,-0.000391652977720458,0.00136126801585601,-0.00226141617654496,-0.00211573649707271,-0.00209212017274941,-0.00294619549699677,-0.000572139814935822,-0.00014219944417438,-0.00128566698230402,0.00108972720018053,-0.00141940933272697,-0.00115587696817558,-0.00173970504709864,-0.000649351317340456,0.000229571033133317,-0.00275919788168768,-0.00197474183882566,-0.00196374564242679,-0.000211805615762774,0.000908469143662145,-0.00359965649826606,0.000240260407083846,-0.0018257550060771,-0.000758500463499435,-0.000964492667674849,-0.00193930092043429,-0.0031087498808641,0.000384452066092889,-0.0011451261400831,-0.00242543806426036,-0.00160574048496115,-0.00226850782020288,-0.000131311548476665,0.000470929329921944,-0.00266238194073226,-0.00172587552492689,-0.00101111040769638,0.000121371742868566,-0.000330632226056728,-0.00232911774336396,-0.000557774940556311,0.000901330900091928,-0.00138971094543459,-0.00337142642843061,-0.00273269889194054,-0.00091038596227106,-0.00198971300217179,-0.00139821885931039,-0.000285571900842981,-0.00164530211236111,-0.00107030583358825,-0.00161674906646661,-0.00122534430880113,-0.00218783691781799,-0.00175203317417649,-0.00114988011237702,-0.00130728344045158,-0.00178902597632375,-0.000220274532358062,-0.000589976217455926,-0.00207554963017246,-0.000687152984285058,-0.00438280632493184,-0.00100767549857619,-0.0012105028502134,-0.000639118076840526,0.000119433081106482,-0.00249793972014764,-0.001929958010419,-0.00200243234129437,-0.00255209257581987,-0.00126008913472203,-0.000585589532612784,-0.001703568017676,-0.00101793694943666,-0.00167715888410018,-0.00301342575051992,-0.000417314446029493,-0.000601958991362427,0.000317058302639775,-0.00198320379787887,-0.00287022068481808,0.000325952871134631,-0.00145528625847592,-0.00140492697737672,0.0013975917460724,-0.00105325099233821,-0.00141331390023835,-0.00203654606586948,-0.00321781052862228,-0.00246051404295152,-0.00192984262386281,-0.00169929517677637,0.000445983343002487,-0.00210770999547692,-0.00122708300142212,-8.88367054574069e-05,-0.00243659819824548,-0.000801779843773403,-0.00182618570996641,-0.00103048942777972,0.000799496956687371,-0.00384853903370524,-0.00196706080056201,-0.00262988199891331,0.000100398365816322,-0.000825794095133707,0.00213941535673593,-0.00184124983777624,-0.00242879000570814,-0.00143604223244579,-0.000409267488123031,-0.00152357982111903,-0.000750718700611915,-0.000117617397659412,-0.00207160684178211,0.000533058377985881,-0.000698364158060949,-0.00264287288388298,-0.000952670378511734,-0.000320048641297199,-0.00198415725978439,-0.00253935409932955,-0.00193236324000502,-0.00148568576736334,-0.000258330748350128,-0.00212311680955615,-0.00164218318342476,0.00133509190240642,-0.00293029724943649,-0.000869409382730479,-0.00156940391360338,-0.00162478500151182,-0.000941922688537414,-0.00206513627624199,-0.00195647326836533,-0.00149383441526433,-0.000573157521141967,5.22454019277791e-05,-0.00317900771978355,-0.00121914188974801,-0.000898428675943098,0.000694336263513957,-0.000228495732770152,-0.00105556946959602,-0.00337123911793162,-0.00158830389882465,-0.00204381518467389,-0.00261046277670656,-0.0018214580908925,-0.00348628396159272,-0.00125108170089347,-7.26491347754736e-06,-0.00133354269345415,-0.0022351258190299,-0.000378378252914901,-0.00137087232093593,-0.00274340231835749,-0.000928672383731092,-0.00073975152444376,-0.00188644631496707,-0.000904322948740361,0.000152972751353457,-0.0028126726561818,-0.00220499025358949,-0.00114645978160515,-0.00244739111357083,-0.00131470926561119,0.000909973214691956,-0.00289955724929207,-0.00310563993182558,-0.000766035506455281,-0.00306796351816307,-0.00323447113418199,-0.00235920149662707,-0.00232388691856597,-0.00187026459295527
"YA",0,5.45464123097653e-08,0.000757386622487978,-0.000434013749133828,-0.000315721054466218,8.03815429396064e-05,0.000144481235250597,-0.000231152186759614,-0.000241628871823309,0.000153178312453514,-0.000598567846216984,-0.000574327275888143,0.000502960246405199,2.24900618950089e-05,-0.000184614615469869,9.49689543092967e-05,-0.000131162905990454,-0.000301518127698974,0.000417107527589102,-0.000509527727169218,0.00125091683217174,-0.000750313083336456,-0.000536419758845917,0.000250707102610285,-0.000205179831719416,0.000153975262086387,-0.000593413719709532,0.0011000372322421,0.000198620737945979,0.000604209854251596,3.87355120313599e-05,-0.000858955623817493,0.000871846740947229,0.00078135366450305,-0.00189306323698099,0.00200499264343764,0.000614202845843485,-6.27725648471185e-05,-0.00031342958560467,0.000351484670995179,0.00040271671213601,0.000421659747365078,0.000660328971372395,0.00122560151803477,1.84672191038666e-05,-0.00142303800894565,-0.000613476291672495,0.00082001547193276,0.00143488975342681,0.00129727200729689,0.000749537683181152,-0.000362161973336597,0.000146713278404748,0.000115963206483584,-0.000367414804614556,0.000763835015191015,-0.000108738814317009,-0.0004057940669413,0.00157688166670547,0.000677977610482026,0.000271347959853666,0.0010318243022519,-0.000408271756834417,-9.01006219917766e-05,0.000983368514197368,0.0010924953512248,-0.000201091453148403,-0.00102715695370382,0.00096469490691872,0.000691654632190268,0.000592826338234972,0.000655702810437073,0.000763270330947056,0.000101049978820844,0.00233415124279247,0.000369791935387666,-0.001747785373771,0.00138680696832977,-0.000376535605348183,0.00112837879249059,-0.000769384216218791,0.00268152903066775,0.00111088309051291,-0.000329132063148354,0.000622903308511584,0.000880009806124218,0.000194582442372828,-0.00143824649169469,0.00130427245705544,0.00100320292994418,0.00114484466078759,-0.000111041239551911,0.000869065372715922,-9.30158034594166e-06,0.00129988973863147,-0.000325548937403624,0.00197800022067197,-0.00220153401787736,0.00229834753871262,0.000211099228775365,-5.35418544065757e-05,0.000241002762263572,0.00178801152180045,0.000218314740114704,0.000838410651409585,0.000503602787212726,0.000136399020464991,0.000250543402890052,0.00126127164639592,0.00114990360792238,0.000374240602274306,-0.000983722745322953,0.00103162279159425,0.0010453343647339,0.00161192275916277,0.00207985490923173,0.000440539684349496,-9.35259704270821e-05,-0.000395477746379913,-0.000331993506723655,0.000336361191777983,0.000368697949058746,0.00307481960778011,-0.000216654067311034,-0.000909897304234502,0.00176568104592741,0.00147616945808865,0.000947493128510666,0.000923777230454561,-0.000542341413295891,-0.000628253861020228,0.000729521683884586,-0.000326209155961623,0.00152510508581805,0.000978291274736262,0.00128666378596281,-1.20709205961552e-05,-0.000220557707104921,0.00177925426193982,0.000893376458637772,0.00051474740394553,-0.000603146946824655,-0.000700094349030049,0.00249797345662356,-0.000440937033934826,0.000951244513172861,0.000175113829462242,0.000624507248764179,0.00104363716231634,0.00142568301226748,-0.000961055516762044,0.000407310172114114,0.00137523295793126,0.000657231245948412,0.000705293399633979,-0.000814927042287229,-0.000608441785605867,0.00185233533018094,0.000905624430159479,0.000144290617639167,-0.00044573483272269,0.000282808314673267,0.00162685185530739,0.000128727551442108,-0.000734482735469532,0.0011782824304518,0.00218582831565119,0.00108859574781664,-0.000536085452246291,0.000379384958967051,0.000326746164640266,-0.000270826696417591,0.00091157712818836,0.00051497666778516,0.000991181417691773,0.000527866366843438,0.00116792493751511,0.000596153174351318,0.000179565856793308,0.000386612827129073,0.000774755159747693,-0.000112071893867523,0.000414281364331163,0.00148809068557887,0.000290251377587551,0.00221697490480808,-0.000577049393088905,-4.48241595384201e-05,-0.000132036309596392,-9.41022627359356e-05,0.00194487183298657,0.00103383982868267,0.000857217217615301,0.000818293800448057,-7.39079754852459e-05,-3.13713086576065e-05,0.00113426341633622,0.000668496216749846,0.000907164414531874,0.0014698229643271,-0.000599174182319442,-0.000110875320726499,-0.000453450283798233,0.00142900637968943,0.00168224190010991,-0.000449549161298047,0.000671205468525733,0.000531541943208383,-0.000590503431164974,0.00118533222473367,0.00134705675577631,0.00154151060391635,0.00171682192039102,0.00086261775306222,0.000326608805970797,0.000179406624813592,-0.000739860998343113,0.00123906000584045,0.00075122314648579,1.51782757990423e-05,0.00136749548298878,0.000252271689430224,0.00100042545612058,0.000542023372973482,-0.00038668598303052,0.00270947681640245,0.000849548036726237,0.000992355446963313,-0.000932340064388355,0.000190669795107935,-0.00137814321748014,0.00196228796374403,0.00182222849359295,0.000838715030180063,-0.000201909286266093,0.000653050284735627,0.000273920893108102,2.42066641377607e-05,0.00126677300238097,-0.000553014593649415,0.000585362255520746,0.00157752492480572,0.000172119139110195,-7.75964524290099e-06,0.00113694516160427,0.00118377674437715,0.000314328817227086,-0.000134274055812623,-0.000581381085914179,0.00105640582613774,0.000550923482035012,-0.00114081673914589,0.00207747883181597,0.000444713219745773,0.000891837221557627,0.000657274989931322,0.000171359434213016,0.000898422961613975,0.000609489466718404,0.000393073445772046,-0.000150854036571381,-0.00031548208938674,0.00209865140042817,0.000542387793081527,-7.15864954556418e-05,-0.000833652147380604,0.00020651880711776,0.000931779347747052,0.00224480004463117,0.000111446107491974,0.000566493347857733,0.000781921165032599,0.000249510750765003,0.00114682457661885,-0.000276927819266774,-0.000766174577443786,0.000560216111419201,0.00126026218979409,0.000187776526275431,0.00089249786290156,0.00163196821268769,0.000263344556458311,-0.000269230178488998,0.000662254704447528,0.000293796008010047,-0.0002945872484657,0.00161583368181186,0.00100443274704878,-5.43772052610023e-05,0.000643034274478289,-0.000191681118851738,-0.000897251235685578,0.00190184703276716,0.00178289158080675,-0.000173754480729977,0.00124579679017134,0.000973633286383593,0.000188409937296691,-0.000315178321211648,-0.00045859771390891
"MA",0,3.92889110800753e-08,0.000565393494028837,0.000364581298377456,0.000561385242386841,0.000830999237049698,0.000863539128298037,0.00107915749901358,0.00116563547713496,0.00157869589448006,0.00124640928318021,0.000969283925276627,0.00128135045867794,0.00120810714407979,0.00115560788552699,0.00159676775255856,0.00156335994048325,0.00131952833291718,0.00168090445805153,0.00116502329074695,0.00199654846374482,0.00163299878352501,0.00131079577466955,0.00129874529061919,0.000810010979992426,0.000829173221511494,0.000398644422582374,0.000914506986365163,0.000771413254115284,0.00132995218521412,0.00159660805006341,0.00064709036739558,0.00118108813198189,0.00142640772398294,-0.000161362061950177,0.00125243505072922,0.00129889878102741,0.000834320977408669,0.000961048961428687,0.000909526091153757,0.000774059532772396,0.000453114757798185,0.000896409361072857,0.00174026713150098,0.00183760666768273,0.00094196227132373,0.000137368060238897,0.000116202860439582,0.000455913579331738,0.00104574723792157,0.00168961889383459,0.00151023679955555,0.00177231176469245,0.00167479253889317,0.000801244310470117,0.00116941936560555,0.000939296190041517,2.49046569336762e-05,0.000891668989626901,0.000684350538645421,0.00099195423576386,0.00153979151227283,0.00070039028266657,0.000745704012429852,0.00107266321686047,0.00134630278001045,0.000823332721014556,-0.000104131617103685,0.000353250192762102,-0.000188040360741474,0.00013282354642511,0.000505963104780584,0.000708324153352299,0.000302268582621611,0.00186043935673953,0.00224709349953532,0.000858061734206155,0.00160772360144224,0.000440779954875728,0.000790153899337988,-0.000151786288396441,0.00110563100847591,0.00140159770289846,0.000484017261121657,0.00119730686597076,0.00123111398419993,0.00112565926825778,-4.49859765975078e-05,0.000539596292772259,0.000518609282540303,0.00103256357784935,0.00105999933814255,0.00141765862899742,0.000909563902733419,0.0014084518991677,0.000736451106231997,0.00167707422528001,-0.000326204570828253,0.00133898820743864,0.000879105987495913,0.000398642234820078,0.000436569617425331,0.00109725514428046,0.000679835874849843,0.00122552909207634,0.00132744541106063,0.000890955494986233,0.000281647449940345,0.000324828936816833,0.000702898711357282,0.000772066022763834,-0.000521393387537734,-0.000461341723521126,-0.00063940762793208,-0.000233183413943534,0.00118494441323788,0.00127494864877388,0.00143079045483487,0.0011166106853402,1.14680430731596e-05,-0.000287217573838898,-0.000690885676270338,0.00136669308527209,0.000608307045031485,-0.000451370711621509,0.000495735130617544,0.000639567038984051,0.00114462704423875,0.00202241826654222,0.00111448122823171,0.00077045330519461,0.00055614529841944,-0.000763518044218904,-0.000105695753091084,0.00017758569343932,0.000453041261135827,0.000661422237936611,-9.01332602838895e-06,0.000979943619747851,0.0010813653801879,0.00144899823848128,0.000814952562587427,-0.000208374794632095,0.0011016830416425,0.000200676626850977,0.000874510492904236,0.000583386634037187,0.000339985418910673,0.000895663758117954,0.00168306686859662,0.000576603450669155,0.000737815967968988,0.00105020510632909,0.000948509239012742,0.0015632144205689,0.00094623859076389,0.000137512455683929,0.000810046610551313,0.000820251094767405,0.000866819790057224,0.000324363089854114,4.78239113834603e-05,0.00070226588805657,0.000429047389114203,-0.00016684816462239,0.000211428514982791,0.00118559811277942,0.00164410314412389,0.00144647141451735,0.00161032804320474,0.00107147269467012,0.000556398597260574,0.000733724984172755,0.000555329165803091,0.000625567648774832,0.000697477941957691,0.00101991198030289,0.00115587999982517,0.000970314255583712,0.000920670613322497,0.00101427081657605,0.000332346426225579,0.000175694853124771,0.000587458944593589,0.000396901606697513,0.00216583142012377,0.0015847248916651,0.00125532700975182,0.000771154386436928,-2.53308183705515e-05,0.000553067887161071,0.000896118181736325,0.00114521512367907,0.00173379877537181,0.00133399711020728,0.000616960841270399,0.000569304601339794,0.000349440732686809,0.000769994469568311,0.00154360278619282,0.00101648862834893,0.000712834312088925,0.000136391981158463,0.000554197418189445,0.00118797878470817,0.000123596290163418,0.000784080789950184,0.00087338503416834,-0.000807088314907426,-0.00013208123239546,6.62571444620402e-05,0.000495035461953124,0.00150098860823126,0.0015978962898893,0.00160323381789202,0.00151988855196278,0.000293877655340623,0.000868649989636477,0.000475859854936331,7.36584296583688e-05,0.0010691027152567,0.000549508154343172,0.000825760253845838,0.000488466054806244,-0.000412810973656843,0.00113906221730279,0.00111751276383577,0.00163752655195,0.000831941698572038,0.00063512430002577,-0.000761272139255792,-0.000121038125967788,0.000606561512115186,0.000597327202265725,0.000611176774389128,0.000870529536383402,0.000476797807503817,9.34107335216493e-05,0.000804833839401139,1.99562156635253e-05,0.000113001902540197,0.00106534795907726,0.000780551239401545,0.000327808286540104,0.000847212098180117,0.0013555773549524,0.00161803442277793,0.00161995982317596,0.000839711834264302,0.00106671098341841,0.00109125970138975,-0.000194275163260527,0.000852818417620518,0.000424696162984712,0.000677566692045758,0.000967510011580493,0.000770563254324395,0.00116671331462801,0.00134698380164693,0.0011007609694923,0.000724011557713349,0.00026323668745896,0.00108035631935538,0.000676754096666482,0.000970015171398739,0.000139315883866654,2.19769256523906e-05,0.000123790121848968,0.00112643907330046,0.00147685779133268,0.00147732183681616,0.00182854161167397,0.0015719473401275,0.00233945938497388,0.00152800952016025,0.000773439490921341,0.000773326582034943,0.000974863629235818,0.000190601726639464,0.000478374458034364,0.00111143410566979,0.000665327827272782,0.00100898170293276,0.00122419161051955,0.00061052694073032,0.000141614497112241,0.00119683897436994,0.00120055750654071,0.00120083698686615,0.00180435683909254,0.00150639038446293,-1.27219790063707e-05,0.000997710216524916,0.00132274835101884,0.000939789987185253,0.00182216672799173,0.0022608378477984,0.00217079155933039,0.00263906523977761,0.00232886230686419
