"","rep","collapse","abun","abunSSB","catch","size","sizeSSB","meanFec","totalFec"
"1",1,FALSE,28354165.2999639,948389.057615886,20124.434747439,18.2908891090071,166.663679236169,55356.8623228859,313919524958.09
"2",2,FALSE,35970284.3624664,999995.469347143,19745.3835599577,16.92257224354,162.880341663726,43229.8815611456,310998226542.03
"3",3,FALSE,35222796.5243168,1114920.34967486,22664.2258359617,17.7400325423866,165.044582516458,50257.5411017015,354042228807.544
"4",4,FALSE,32160295.8965594,1099981.50475502,22480.4253499547,18.6333609196771,164.84541077215,54675.6478104972,351677002384.332
"5",5,FALSE,35981425.6487698,1117786.56582571,22259.9249201203,17.7251647539996,163.861626074636,48353.2748457529,347963952747.397
