"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150"
"1",40344814.1809491,16617946.2557969,27755568.921288,28347055.974662,31538659.8333811,13272240.2400214,38081010.4573187,29093824.274083,39213721.4877783,38298702.1626703,37461855.514975,24933082.9309354,37377114.1378308,33087098.0898456,23652613.9365938,33763465.47266,24324717.1812149,33161269.76638,27485250.6385929,26563847.1999537,38696187.2942115,17613400.0038855,32547171.3574116,22381552.7756268,29582344.1784622,32644697.7146705,11713890.9633813,33314160.5828078,36104561.616307,38692347.4980712,37040134.6281396,32547993.0736772,39467404.871027,22936930.3145481,19446526.6777457,36606693.0453912,35753699.1036221,39527159.0341273,39641737.011145,37746188.6794404,37962492.8985549,40051155.7414729,39978555.1716448,20552586.202444,39057680.9837296,22229012.5314262,26567308.2270806,25818642.034494,33064411.5309932,39361355.2575903,34226526.8193804,34623126.7050831,36468939.788529,36166832.3524211,35429809.2073209,26023287.4007297,28501083.0250537,33280626.3346891,35277566.7117848,32970802.6626147,36887045.1846025,37728763.6088324,14149076.3205343,38624689.2944529,26730920.1337814,33652559.0152519,26024205.9938068,24287405.2428708,29441355.1382639,20596663.3935578,17704199.47474,25687928.9175386,34980378.5099898,39146421.7280363,34153356.3220125,20291765.3499142,18470929.2247034,31865049.5666364,38922073.7609932,25215466.0037053,38994946.5242867,38053398.5572276,15001422.9903275,6502099.96417226,24471659.7535906,23545883.0984458,35373612.5625945,35550239.9903156,25848885.8279755,19056620.1000549,35227208.5625946,36775638.6443063,12772971.7618682,12196072.7599933,27921510.7025067,29418414.8325529,32646993.2702362,33070879.0833676,18870452.8664257,34797350.6264259,39268358.269444,36107099.2570545,21501146.7679856,22948802.9068654,30386989.1128642,36624090.1298566,33964369.8345941,32294352.0851377,38034935.7791734,29296468.1911772,29679864.933516,32550547.9619527,34743159.9432965,33722522.3352179,29046061.8758316,33403020.0050407,34675502.7168315,37600500.1082058,30894627.1839134,38674582.8882451,34796088.6056541,39457271.4596963,38108469.9813496,27704312.5079188,27776592.3647144,39348014.1183387,39898504.7755927,21765374.352631,29376949.0077102,29642115.0171375,35676758.5643051,30976578.5630391,26503919.9454362,34233396.1318103,31373508.131614,38852413.0144969,30565150.883476,39413537.2796139,36672212.8957373,22421500.3094471,20763910.3960858,11339072.1458747,22256115.3624724,34842432.2086312,31212639.2719623,38648028.9166607,36767411.0639723,32674920.9660572,30527525.275462,24509597.3924601
"2",40344814.1809491,40073991.404812,25194225.9734695,38698650.8186998,40104567.7031921,37769733.4153772,33277608.2967667,39205941.5554468,34756508.615393,38418809.923989,37077420.8933981,34246518.9586126,30153799.0779408,33512602.1316291,39116642.8400705,35350307.5967855,39060114.6174844,40122766.5123311,29726631.0000033,30161599.7765345,33961342.3608596,37206152.1784259,37640212.3283071,15306463.2590487,35673880.5886071,34774484.8644662,30190207.1209178,38066376.4928421,35434365.4553489,39801336.41091,39792477.8655537,29287778.3249193,21108501.6432629,28079673.8009398,29118740.1223913,28384125.2147629,39068331.7028604,35200659.2443822,38730630.525517,36654897.3212616,32815549.3108722,33723724.9252345,31367140.7735963,39596266.0837175,39288478.1453927,40084925.7892027,40037437.0332331,29929544.386196,39278050.3161557,39795822.832381,33446289.0131496,16900387.0532099,37865422.7503158,36562344.6184873,34200736.4865076,30506453.8554383,32990682.0683708,36272037.2308245,38122832.4735482,38531615.5919954,29241932.8817964,30105367.0297021,17346869.8248765,14821570.3051457,38184265.2328499,29995332.5292028,39125872.2841908,35947924.7319236,26731562.6681492,30375538.3724498,37998765.141334,13104464.0062865,23207097.2287181,32730976.989377,18785771.8637132,23340082.4384479,32270996.493418,24627803.704111,24139247.9680917,24227268.9149377,30889149.9858563,37386395.9031001,23703756.4974313,24182794.5095571,31667875.6804824,21109417.2168593,23081932.5992341,14039679.8543345,23956906.5294246,23693673.7149612,24032948.8753416,38333375.2918554,19863791.8125571,23447872.4072913,31017531.4247084,23598225.0353503,32175288.7058512,31699264.4169928,37855289.1993052,26646627.9411965,32217917.1611952,39144679.3229044,39602483.8969279,33687024.9541643,30550304.4218916,37657705.3081441,30315556.1331986,24159325.2199353,36510069.5729134,37105045.2793689,39840072.3125231,31771481.6058175,39680304.249231,18851091.7507133,32954863.7803786,20190661.2059918,13511243.1182916,28852883.8450367,38758328.3936333,39499026.7663867,24125050.1461015,25017248.385557,37670667.2701708,27752375.4287568,39176859.5571671,38673698.3481637,37066264.4790401,35169880.9445702,11351562.6850536,37077690.4718744,21132764.5255682,30923556.1924697,36855312.5365263,27060636.148476,30250848.6250802,33923353.6557749,32666973.5953438,17054697.8744663,29046395.6760825,32414515.9318126,28543849.7686315,38846225.1130092,38337354.4492953,27811244.6289048,38089946.8307125,39013697.4445653,34779066.8540869,39460803.452842,36275277.8901642,38545377.1924527
"3",40344814.1809491,40404032.0564045,39929043.4481811,40308744.0211241,33009347.4011876,30788175.424677,34852351.4268136,39869166.0285876,38432524.3644246,37194050.2965373,39048219.5444064,39074220.3947511,39106674.3720665,34134397.5849315,38665700.6235448,32804366.9688194,30076260.0292916,37950418.0133588,29826810.4671741,34026266.2837616,31374677.5151244,24684691.5836159,33095003.0884286,28031347.226871,33839073.2088829,36563000.8773378,31906305.3731842,21780392.0632947,37262687.7383458,39041607.3095221,38905595.2604721,33013007.7814727,33206274.0977641,25007161.5434567,39169469.6114796,24414105.0502522,14841401.0032032,30972623.3495307,32692728.9692894,39243547.8923005,30069010.5011268,33220103.6680046,38749257.9966039,39899520.1769003,37636503.9319391,39953043.715635,19130389.2458682,33646348.3297111,35902105.9578859,34881407.892692,35209860.5705157,16695327.8696357,37589684.0491072,35666625.6767394,19183844.1125901,37342385.9486372,21721612.2668717,32575278.4861525,39071981.1427456,36902505.9337607,30488048.2148218,38601261.2878516,32812848.1913325,39705379.8006523,35732165.363202,28065447.8593864,31169658.6422749,14943704.6375794,28088065.557724,38729983.0411144,27053375.6076659,19952284.6151787,25459008.9035213,29396808.2943978,38656395.600632,5544747.52065671,23252297.3889509,31215371.585716,19694702.7209187,33492208.9804984,15231323.3731097,35345470.5618469,18555849.1593637,37017086.499832,28950610.128,27181104.2591769,29896310.7483255,20640012.1455866,37845973.5407528,28427318.1165682,38463148.673657,39003164.915157,15704230.4934308,24375161.0642541,22278587.2136135,38579656.2944721,39095272.3313683,18441504.3096291,38076911.3444892,34281568.0644183,36237773.1220532,31938747.3305112,39141867.6970945,38538310.2137992,30608870.1367588,39454680.477142,39514650.5390987,37247442.5036621,40038862.2258647,34625772.8848773,39947298.1123976,38677730.4237785,39885458.9640689,38981663.88692,39638398.774944,39280299.3336289,34144156.1679626,27417651.7544619,39091616.0219154,29700164.8474001,23231256.5746907,30815153.2374871,24915731.9579725,15941830.5224305,38361393.1455111,33018559.495167,39196274.2551423,27715296.4593169,33318040.1145503,35847424.2961656,25066289.9459144,38233898.2988591,38610382.1949118,38824282.0384076,36085192.2279322,39442828.0813412,40051741.2715753,35078963.4732046,34761747.8550514,19874753.032659,35903539.0653058,39109516.1689978,35851210.3036866,39732267.4276491,36501927.3201456,33955910.7292258,32490031.463211,27065432.2623411,32093963.921607,39524166.5809982
"4",40344814.1809491,13846386.6565264,34279878.7551023,39192145.3155763,37620015.349455,34246400.891017,32870528.2396388,33616092.5313099,37408783.1751662,33866938.3775145,38638288.1213926,19623258.484586,21513973.4972781,32471397.7977899,34171880.7911955,24275847.5912685,30677897.0562308,31906407.9486654,39291143.4013964,15296833.8441377,38500752.6061169,12444487.8863529,30431967.4120082,37724242.8630443,38450588.4669187,23315650.3978897,37537714.3749161,14859444.6124938,23956155.3088221,30965717.9909817,38665954.1613333,14209361.9611685,38380510.0293438,38891871.0329374,39771877.2965618,38847009.3091163,20792794.8870295,19849200.8501424,32709126.5780468,33224112.71875,36232772.4296264,36507248.7502036,33377858.3441961,33074603.184323,39032134.2382578,17129270.4979791,38710056.5482349,25326613.6432774,30186697.7417925,39204526.9057845,25556574.4238147,37424463.9351374,36470826.5458402,32561066.4419401,22812832.8925977,21415411.3796053,32756269.6981362,30718241.5917456,24681479.6929487,33119510.2144356,39326912.6692093,24047027.4847098,39049820.7644788,37626004.2710883,39223350.0807918,39898325.4518462,36377510.5328592,29847448.3024155,34900807.7059035,37840889.1276933,25819476.0856342,36181883.535117,31530056.6809848,36589748.9258952,36416146.1616954,36260869.5735708,39420098.0434277,38944722.2064947,33765301.6429584,39892370.3981557,38548801.4211882,40218675.7378704,40137904.6272299,38298342.5215941,22845889.6534071,38914505.9892582,39385021.966213,24952946.3935365,32013337.7138236,34482580.0222029,39303725.8375386,34025908.5846739,32421901.6312698,34495395.1491258,38919511.7284629,25764955.5395597,32837694.4013438,28746454.3814841,8391053.64224716,36864802.3112953,28755972.8985488,25006087.164169,37957115.5593778,29912324.7320944,39291616.0278519,34231732.0963981,28537529.8023989,36059357.9178521,39090582.4250247,36397458.1606841,39858643.8842122,37866645.6183926,39629262.5301376,40062618.9947745,34722152.2551863,36857624.9805964,35537023.109962,6016530.84394384,23947396.4641113,38460378.7661061,36130467.2919174,27483791.872464,39062011.0122156,34446567.9896057,34789248.3962397,19877287.1070899,38491308.7576042,39526372.9560604,35233452.8195285,39847691.9237674,38874097.4098421,35198890.3958291,32260384.2844375,39234227.7508884,38078836.3886513,27720169.0758216,37653592.5003089,32113604.5249847,34317608.430433,35573047.0372972,24366410.8478993,37769655.1933927,37943028.0847699,39685524.8011598,28372999.662473,38520315.9694713,37237635.288262,38624489.7645545,23870796.8513457,15212102.5022662
"5",40344814.1809491,22465349.1065521,34117940.3919029,33055354.7071112,29067372.9560488,32216605.9669331,32571043.5302371,36146958.2560273,28332077.213757,37336831.5542009,38463315.7666591,37966008.6371001,39812808.9768119,35627771.9521004,38487303.2567684,38063151.0660133,33108335.4633611,35436684.6635129,39273132.7178426,39584086.9177219,40156414.7537886,36252273.3860858,26672987.0462407,36874564.6889337,28545946.3257796,35688525.4934795,28291301.2720788,27295089.0603588,33034096.4179296,36145207.4732365,37651241.7790233,39828204.8384014,18302253.1124722,23779800.2051443,35746376.9922915,16064253.0653062,38151451.6079417,28112202.3599976,29644897.35438,27068239.4287716,33249346.250856,21353788.3575582,37819766.4134334,31825677.3425657,32075519.1388052,25502596.8509639,39046217.6588169,37569793.9280641,14553343.2821562,29067486.2036677,38505724.7032209,39646017.7995778,32792731.7782381,33981017.8541773,31070428.8358805,29221882.5985369,9722454.0083387,38090839.2144376,34619264.3820718,38553745.1990819,27571241.1545917,27353925.6318234,32759567.3726988,15671313.2115533,24507290.8452588,26738349.4658415,38109196.2499555,14122131.2045169,30795632.773505,36092074.9228232,20164812.2905528,25076801.1226677,37209281.6189169,33088985.0240624,13212750.4427638,20716658.7117527,37372334.8495211,34870152.378438,38453125.0158395,25931491.556771,36465773.0476913,37275131.7174305,37353855.3803,20722174.5810321,20867154.6312181,37765467.2063946,39381436.7569936,26491012.022612,36958398.749252,36598743.0674584,14862007.2592355,33659390.7755979,35188726.8514396,26530859.1162252,39125350.4519348,39435781.1385703,23144750.2733975,38115699.1584094,27966874.8898994,33080320.2282355,35308633.9511566,38181962.296483,24853856.3913659,33539216.029518,32235459.6266354,26909445.8905913,21962335.3823014,38792248.255651,35817242.1378155,23004385.7966754,31807445.4521505,31760631.1566866,39312458.1059183,39212268.0896854,26542719.0553187,32874888.5085165,38449729.1753016,33732380.9817111,4285961.29356063,14094328.4003474,29228730.4016257,16725875.5424039,27474128.8741825,35962738.9290102,22375078.9570231,32366379.9641407,37048692.9088235,35136861.237679,21535419.7543916,37210470.9627629,28183005.1536886,38213213.1209101,37879172.0768697,39222331.9833874,39894884.2552214,39704377.943275,27741277.8068502,30731647.5624139,34479789.7938931,39331978.4398551,28283901.2276806,39111658.2655976,37604342.0379736,38160534.4936094,40049168.1794509,32148700.8055009,32421824.9131855,37916425.9342848,36346989.4947366,37770711.1356777
